대명칭,경도,위도
광장동청년회화장실,127.1099602,37.54863775
홍제제3동주민센터,126.9496986,37.59378046
미루나무어린이공원화장실,127.0244424,37.6405571
길음1동주민센터,127.0194638,37.61050143
오동근린공원화장실,127.0350955,37.62014225
망원1동주민센터,126.9056795,37.55527776
무궁화공원화장실,127.0944103,37.54127155
연남동 주민센터,126.9220233,37.5645337
천연동주민센터,126.959128,37.57110648
가중나무공원화장실,127.0679173,37.54638927
충현동주민센터,126.9547336,37.56482976
햇님공원화장실,127.0669007,37.54272062
양재2동주민센터,127.0412176,37.47059817
사가정공중화장실,127.0965242,37.58087112
제기동주민센터,127.0420177,37.58560387
자동차매매센터공중화장실,127.0645599,37.56035732
서소문근린공원공중화장실,126.9693747,37.56056793
창4동주민센터,127.0515692,37.65226654
잠실2동주민센터,127.0885593,37.51188178
양지공중화장실,127.0756055,37.64718856
색동어린이공원화장실,127.0206696,37.63317687
성수2가제1동주민센터,127.0540441,37.53953092
흰구름어린이공원화장실,127.0204494,37.64572351
구로리어린이공원화장실,126.8916242,37.49089176
구일지구대,126.8907221,37.48927603
남구로역화장실,126.8873217,37.48517343
푸른동산공원화장실,127.0911065,37.54287295
서강동주민센터,126.9319485,37.54778637
개나리공원화장실,127.0923891,37.53803325
홍제제1동주민센터,126.944928,37.58770228
구의공원화장실,127.0946358,37.5369695
번동공중화장실,127.0429154,37.62993999
사근동주민센터,127.0458792,37.56121317
면목4치안센터,127.0805973,37.57437552
광덕주유소화장실,127.0202043,37.58313671
화양동주민센터,127.0713271,37.5466142
방화1공중화장실,126.8085899,37.56255459
자양3동주민센터,127.0728882,37.53387693
당산4가공중화장실,126.8978822,37.52977435
상계10동주민센터,127.0602597,37.66133264
행당어린이공원공중화장실,127.0372853,37.55760595
이태원2공중화장실,126.9902626,37.54306561
노원세무서,127.0517362,37.65320632
후암4공중화장실,126.9762297,37.55024536
방화동우체국,126.8149975,37.57983353
한전울타리옆화장실,127.0842277,37.64038762
동자공원공중화장실,126.9738685,37.55012129
쌍문2동우체국,127.0375679,37.65639356
한마음공원공중화장실,126.9696181,37.5284721
창5동우체국,127.0427345,37.65186533
신계동공중화장실,126.9628583,37.53407041
전농동주민센터,127.0576112,37.57853645
